customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Aryan Maharaj,aryan.maharaj1@gmail.com,India,2023-01-31,Standard,380.24
2,Allison Hill,allison.hill2@proton.me,United States,2026-02-11,Premium,2361.11
3,Noah Rhodes,noah.rhodes3@yahoo.com,United States,2022-08-10,Standard,193.78
4,Angie Henderson,angie.henderson4@proton.me,United States,2026-02-10,Standard,891.19
5,Daniel Wagner,daniel.wagner5@gmail.com,United States,2021-10-15,Standard,711.41
6,Cristian Santos,cristian.santos6@outlook.com,United States,2021-02-22,Premium,1157.85
7,Brenda Alves,brenda.alves7@icloud.com,Brazil,2022-12-19,Basic,517.57
8,Allison Hill,allison.hill8@hotmail.com,Canada,2020-11-18,Standard,1518.52
9,Udant Dewan,udant.dewan9@outlook.com,India,2026-06-22,Premium,1057.35
10,Alexandre Traore,alexandre.traore10@outlook.com,France,2020-11-22,Basic,609.88
11,William Jennings,william.jennings11@hotmail.com,United Kingdom,2024-02-03,Premium,2114.5
12,Gérard-Frédéric Joly,gerard.frederic.joly12@proton.me,France,2020-10-19,Standard,432.38
13,Yves Traore,yves.traore13@yahoo.com,France,2025-03-08,Standard,1782.71
14,Gagan Sami,gagan.sami14@icloud.com,India,2022-06-18,Standard,1540.71
15,Allison Hill,allison.hill15@yahoo.com,Australia,2020-05-11,Basic,295.79
16,Connie Lawrence,connie.lawrence16@icloud.com,United States,2023-07-12,Standard,973.73
17,Abigail Shaffer,abigail.shaffer17@proton.me,Japan,2025-02-22,Premium,1316.63
18,Noah Rhodes,noah.rhodes18@icloud.com,Australia,2022-12-12,Basic,314.19
19,Ayushman Chander,,India,2022-06-17,Basic,118.37
20,Aleksandr Weihmann,aleksandr.weihmann20@gmail.com,Germany,2021-03-25,Premium,1391.93
21,Aurore Maury-Briand,aurore.maury.briand21@icloud.com,France,2020-09-17,Standard,1133.22
22,Eleni Hauffer,eleni.hauffer22@outlook.com,Germany,2026-03-16,Basic,32.75
23,Alexandre Morin,alexandre.morin23@proton.me,France,2026-01-08,Basic,543.8
24,Lesley Wilson-Newman,lesley.wilson.newman24@outlook.com,United Kingdom,2024-11-15,Premium,812.01
25,Gabriel de Guilbert,gabriel.de.guilbert25@proton.me,France,2022-12-14,Basic,539.32
26,Noah Rhodes,noah.rhodes26@gmail.com,Canada,2023-05-07,Basic,367.67
27,Gina Moore,gina.moore27@outlook.com,United States,2021-10-23,Standard,1434.73
28,Angie Henderson,angie.henderson28@gmail.com,Canada,2023-08-20,Standard,334.58
29,Abdul Hopkins,abdul.hopkins29@outlook.com,United Kingdom,2022-09-07,Premium,4048.64
30,Camilla Asmundo-Leone,camilla.asmundo.leone30@gmail.com,Italy,2025-06-13,Basic,685.14
31,Daniel Wagner,daniel.wagner31@yahoo.com,Canada,2021-06-09,Standard,1712.3
32,Gabrielle Davis,gabrielle.davis32@icloud.com,United States,2024-09-29,Basic,652.02
33,Angie Henderson,angie.henderson33@proton.me,Australia,2022-04-03,Basic,294.32
34,Victor du Vasseur,victor.du.vasseur34@outlook.com,France,2024-11-29,Basic,329.75
35,Ryan Munoz,ryan.munoz35@gmail.com,United States,2023-10-16,Premium,2849.51
36,Viraj Tiwari,viraj.tiwari36@gmail.com,India,2020-10-17,Basic,64.74
37,Monica Herrera,monica.herrera37@gmail.com,United States,2023-09-15,Premium,1680.62
38,Laurence Robert,laurence.robert38@yahoo.com,France,2026-01-17,Premium,4261.4
39,Cristian Santos,cristian.santos39@hotmail.com,Canada,2022-09-22,Basic,570.06
40,Jamie Arnold,jamie.arnold40@gmail.com,United States,2024-10-31,Standard,828.32
41,Sra. Isabelly Câmara,sra.isabelly.camara41@gmail.com,Brazil,2021-02-07,Premium,3494.39
42,Ali Schellekens,ali.schellekens42@gmail.com,Netherlands,2022-10-15,Premium,2784.26
43,Lisa Hensley,lisa.hensley43@yahoo.com,United States,2023-02-14,Standard,1592.9
44,Michele Williams,michele.williams44@icloud.com,United States,2021-02-05,Premium,4497.35
45,Cauã Rocha,caua.rocha45@gmail.com,Brazil,2022-08-26,Premium,2596.87
46,Dylan Miller,dylan.miller46@hotmail.com,United States,2020-08-28,Premium,807.97
47,Mrs Lauren Green,mrs.lauren.green47@hotmail.com,United Kingdom,2023-03-14,Standard,1729.57
48,Alberto Laureano Guevara,alberto.laureano.guevara48@icloud.com,Mexico,2025-06-16,Premium,1897.82
49,Gianfranco Cilea,gianfranco.cilea49@icloud.com,Italy,2026-01-29,Premium,1960.34
50,Brian Ramirez,brian.ramirez50@hotmail.com,United States,2025-08-21,Basic,383.51
51,Holly Wood,holly.wood51@icloud.com,United States,2020-11-24,Basic,71.25
52,Derek Zuniga,derek.zuniga52@yahoo.com,United States,2024-07-11,Premium,4094.06
53,Lisa Jackson,lisa.jackson53@icloud.com,United States,2020-06-11,Standard,841.72
54,Rushil Saini,rushil.saini54@icloud.com,India,2023-07-19,Basic,162.87
55,Marcel Leblanc,marcel.leblanc55@yahoo.com,France,2022-12-23,Standard,1258.29
56,Tina Foster,tina.foster56@outlook.com,United Kingdom,2020-10-24,Premium,3098.29
57,Connie Lawrence,connie.lawrence57@gmail.com,Canada,2020-10-27,Standard,984.71
58,Carla Gray,carla.gray58@outlook.com,United States,2020-10-08,Basic,274.43
59,Margaret Hawkins DDS,margaret.hawkins.dds59@icloud.com,United States,2023-05-24,Standard,1778.93
60,Saumya Mall,saumya.mall60@gmail.com,India,2026-03-21,Standard,1244.59
61,Albano Llopis Hierro,albano.llopis.hierro61@yahoo.com,Spain,2022-12-19,Premium,1196.03
62,Abigail Shaffer,abigail.shaffer62@outlook.com,Canada,2023-02-28,Standard,1334.06
63,Patty Perez,patty.perez63@proton.me,United States,2022-12-17,Standard,564.35
64,Ethan Adams,ethan.adams64@gmail.com,Japan,2021-01-13,Standard,1518.42
